"participant","trial_num","consistency","matching","key_resp_3.corr","key_resp_3.rt","stage"
"fp12","206","c","match",1,0.3449432,"baseline"
"fp12","207","c","mismatch",1,0.4014656,"baseline"
"fp12","208","c","match",1,0.3811608,"baseline"
"fp13","1","i","match",1,0.352225,"adapt"
"fp13","2","i","match",1,0.3778592,"adapt"
"fp13","3","c","match",1,0.3353741,"adapt"
"fp13","4","c","match",1,0.3205641,"adapt"
"fp13","5","i","mismatch",1,0.3129186,"adapt"
"fp13","6","i","match",1,0.3149887,"adapt"
"fp13","7","c","match",1,0.3038689,"adapt"
"fp13","8","filler","mismatch",1,0.3248475,"adapt"
"fp13","9","c","mismatch",1,0.4449671,"adapt"
"fp13","10","c","match",1,0.2937756,"adapt"
"fp13","11","i","match",1,0.2845353,"adapt"
"fp13","12","c","mismatch",1,0.3324285,"adapt"
"fp13","13","i","mismatch",1,0.2964336,"adapt"
"fp13","14","c","match",1,0.5295203,"adapt"
"fp13","15","i","mismatch",1,0.3602929,"adapt"
"fp13","16","c","match",1,0.3915833,"adapt"
"fp13","17","filler","match",1,0.2781276,"adapt"
"fp13","18","i","match",1,0.2783688,"adapt"
"fp13","19","i","match",1,0.3093665,"adapt"
"fp13","20","c","match",1,0.3146388,"adapt"
"fp13","21","filler","match",1,0.3314881,"adapt"
"fp13","22","c","mismatch",1,0.311512,"adapt"
"fp13","23","c","mismatch",1,0.4709158,"adapt"
"fp13","24","i","match",1,0.2830495,"adapt"
"fp13","25","c","mismatch",1,0.3911944,"adapt"
"fp13","26","i","mismatch",1,0.3127287,"adapt"
"fp13","27","c","mismatch",1,0.3218768,"adapt"
"fp13","28","i","mismatch",1,0.3090572,"adapt"
"fp13","29","i","match",1,0.2612463,"adapt"
"fp13","30","c","match",1,0.3283919,"adapt"
"fp13","31","i","match",1,0.4421302,"adapt"
"fp13","32","c","mismatch",1,0.3301327,"adapt"
"fp13","33","i","mismatch",1,0.2774087,"adapt"
"fp13","34","i","mismatch",1,0.3213784,"adapt"
"fp13","35","i","mismatch",1,0.2826995,"adapt"
"fp13","36","c","mismatch",1,0.2880541,"adapt"
"fp13","37","i","mismatch",1,0.3706536,"adapt"
"fp13","38","i","mismatch",1,0.286068,"adapt"
"fp13","39","i","mismatch",1,0.3771897,"adapt"
"fp13","40","c","mismatch",1,0.4859715,"adapt"
"fp13","41","c","match",1,0.3368324,"adapt"
"fp13","42","c","match",1,0.2887931,"adapt"
"fp13","43","i","match",1,0.3528845,"adapt"
"fp13","44","c","mismatch",1,0.4177722,"adapt"
"fp13","45","c","mismatch",1,0.3130509,"adapt"
"fp13","46","i","match",1,0.3033382,"adapt"
"fp13","47","c","match",1,0.3068125,"adapt"
"fp13","48","i","match",0,0.3053023,"adapt"
"fp13","49","c","match",1,0.3269807,"adapt"
"fp13","50","i","mismatch",1,0.3159322,"adapt"
"fp13","51","c","mismatch",1,0.467267,"adapt"
"fp13","52","filler","mismatch",1,0.3622906,"adapt"
"fp13","53","c","match",1,0.2947821,"adapt"
"fp13","54","c","match",1,0.393832,"adapt"
"fp13","55","i","mismatch",1,0.3289264,"adapt"
"fp13","56","i","mismatch",1,0.4052991,"adapt"
"fp13","57","i","match",1,0.4743737,"adapt"
"fp13","58","c","match",1,0.3144283,"adapt"
"fp13","59","i","match",1,0.4117028,"adapt"
"fp13","60","i","match",1,0.3455429,"adapt"
"fp13","61","filler","mismatch",1,0.3686595,"adapt"
"fp13","62","c","match",1,0.5862042,"adapt"
"fp13","63","i","match",1,0.3924073,"adapt"
"fp13","64","i","mismatch",1,0.3004384,"adapt"
"fp13","65","filler","match",1,0.4287061,"adapt"
"fp13","66","i","match",1,0.3814245,"adapt"
"fp13","67","c","match",1,0.3057897,"adapt"
"fp13","68","c","match",1,0.4178236,"adapt"
"fp13","69","i","match",1,0.3500346,"adapt"
"fp13","70","i","mismatch",1,0.2986119,"adapt"
"fp13","71","c","match",1,0.2929481,"adapt"
"fp13","72","c","mismatch",0,0.3559206,"adapt"
"fp13","73","i","mismatch",1,0.3021753,"adapt"
"fp13","74","i","mismatch",1,0.3618794,"adapt"
"fp13","75","i","match",1,0.3419403,"adapt"
"fp13","76","c","mismatch",1,0.3334699,"adapt"
"fp13","77","c","mismatch",1,0.4430347,"adapt"
"fp13","78","filler","match",1,0.5802436,"adapt"
"fp13","79","i","match",1,0.3496012,"adapt"
"fp13","80","i","mismatch",1,0.3283565,"adapt"
"fp13","81","i","mismatch",1,0.3236951,"adapt"
"fp13","82","c","mismatch",1,0.3654983,"adapt"
"fp13","83","c","mismatch",1,0.3817842,"adapt"
"fp13","84","i","match",1,0.3509332,"adapt"
"fp13","85","c","mismatch",1,0.4236834,"adapt"
"fp13","86","c","match",1,0.4470469,"adapt"
"fp13","87","i","mismatch",1,0.4476502,"adapt"
"fp13","88","filler","mismatch",1,0.3707887,"adapt"
"fp13","89","c","match",1,0.3630431,"adapt"
"fp13","90","c","mismatch",1,0.4250018,"adapt"
"fp13","91","i","match",1,0.4204348,"adapt"
"fp13","92","i","mismatch",1,0.2583885,"adapt"
"fp13","93","c","match",1,0.3668294,"adapt"
"fp13","94","c","mismatch",1,0.3855062,"adapt"
"fp13","95","i","match",1,0.2946405,"adapt"
"fp13","96","i","mismatch",1,0.3391766,"adapt"
"fp13","97","c","mismatch",0,0.3594043,"adapt"
"fp13","98","c","mismatch",1,0.3740286,"adapt"
"fp13","99","c","mismatch",1,0.3367698,"adapt"
"fp13","100","i","mismatch",1,0.3375885,"adapt"
"fp13","101","i","match",1,0.401369,"adapt"
"fp13","102","c","match",1,0.3502028,"adapt"
"fp13","103","c","mismatch",1,0.3680291,"adapt"
"fp13","104","c","match",1,0.3125508,"adapt"
"fp13","105","i","match",1,0.3806395,"baseline"
"fp13","106","i","match",1,0.4146367,"baseline"
"fp13","107","c","match",1,0.2557915,"baseline"
"fp13","108","c","match",1,0.3318439,"baseline"
"fp13","109","i","mismatch",1,0.4185541,"baseline"
"fp13","110","i","match",1,0.3346608,"baseline"
"fp13","111","c","match",1,0.2949218,"baseline"
"fp13","112","filler","mismatch",1,0.5488314,"baseline"
"fp13","113","c","mismatch",1,0.3633844,"baseline"
"fp13","114","c","match",1,0.3585475,"baseline"
"fp13","115","i","match",1,0.3777693,"baseline"
"fp13","116","c","mismatch",1,0.4792247,"baseline"
"fp13","117","i","mismatch",1,0.308879,"baseline"
"fp13","118","c","match",1,0.3846833,"baseline"
"fp13","119","i","mismatch",1,0.306759,"baseline"
"fp13","120","c","match",1,0.3993048,"baseline"
"fp13","121","filler","match",1,0.440286,"baseline"
"fp13","122","i","match",1,0.2995518,"baseline"
"fp13","123","i","match",1,0.3140603,"baseline"
"fp13","124","c","match",1,0.296078,"baseline"
"fp13","125","filler","match",1,0.3868802,"baseline"
"fp13","126","c","mismatch",1,0.360728,"baseline"
"fp13","127","c","mismatch",1,0.3975052,"baseline"
"fp13","128","i","match",1,0.3204924,"baseline"
"fp13","129","c","mismatch",1,0.3842747,"baseline"
"fp13","130","i","mismatch",1,0.3923166,"baseline"
"fp13","131","c","mismatch",1,0.3372743,"baseline"
"fp13","132","i","mismatch",1,0.3887379,"baseline"
"fp13","133","i","match",1,0.3340469,"baseline"
"fp13","134","c","match",1,0.3327722,"baseline"
"fp13","135","i","match",1,0.3202336,"baseline"
"fp13","136","c","mismatch",1,0.3607616,"baseline"
"fp13","137","i","mismatch",1,0.3359232,"baseline"
"fp13","138","i","mismatch",1,0.2775857,"baseline"
"fp13","139","i","mismatch",1,0.2696839,"baseline"
"fp13","140","c","mismatch",1,0.3916211,"baseline"
"fp13","141","i","mismatch",1,0.3693882,"baseline"
"fp13","142","i","mismatch",1,0.2885358,"baseline"
"fp13","143","i","mismatch",1,0.2969256,"baseline"
"fp13","144","c","mismatch",1,0.545349,"baseline"
"fp13","145","c","match",1,0.2933711,"baseline"
"fp13","146","c","match",1,0.3408263,"baseline"
"fp13","147","i","match",1,0.3942738,"baseline"
"fp13","148","c","mismatch",1,0.4307773,"baseline"
"fp13","149","c","mismatch",1,0.3159813,"baseline"
"fp13","150","i","match",1,0.3630747,"baseline"
"fp13","151","c","match",1,0.3389116,"baseline"
"fp13","152","i","match",1,0.3055445,"baseline"
